Dia,mm,mm0
1,7,7
2,5,5
3,4,4
4,3,3
5,7,7
6,4,4
7,2,2
8,5,5
9,3,3
10,9,9
11,4,4
12,6,6
13,7,7
14,7,7
15,6,6
16,6,6
17,9,9
18,8,8
19,5,5
20,5,5
21,9,9
22,3,3
23,10,10
24,4,4
25,10,10
26,9,9
27,6,6
28,6,6
29,6,6
30,5,5
31,7,7
32,6,6
33,6,6
34,6,6
35,2,2
36,3,3
37,5,5
38,5,5
39,6,6
40,5,5
41,7,7
42,6,6
43,2,2
44,5,5
45,7,7
46,6,6
47,6,6
48,6,6
49,9,9
50,6,6
51,3,3
52,3,3
53,6,6
54,7,7
55,4,4
56,2,2
57,5,5
58,6,6
59,5,5
60,3,3
61,6,6
62,5,5
63,5,5
64,5,5
65,4.5,4.5
66,9,9
67,4,4
68,2,2
69,6,6
70,3,3
71,6,6
72,3,3
73,3,3
74,2,2
75,4,4
76,5,5
77,3,3
78,2,2
79,4,4
80,4,4
81,2,2
82,4,4
83,5,5
84,2,2
85,2,2
86,3,3
87,4,4
88,2,2
89,1,1
90,3,3
91,4,4
92,4,4
93,3,3
94,2,2
95,2,2
96,3,3
97,3,3
98,4,4
99,3,3
100,1,1
101,1,1
102,3,3
103,5,5
104,4,4
105,2,2
106,3,3
107,1,1
108,1,1
109,4,4
110,2,2
111,0.5,0.5
112,1,1
113,2,2
114,2,2
115,4,4
116,3,3
117,3,3
118,1,1
119,3,3
120,0.5,0.5
121,1,1
122,0.5,0.5
123,1,1
124,2,2
125,1,1
126,2,2
127,1,1
128,2,2
129,2,2
130,1,1
131,1,1
132,1,1
133,2,2
134,0.25,0.25
135,0.5,0.5
136,1,1
137,3,3
138,0.5,0.5
139,1,1
140,1,1
141,2,2
142,1,1
143,2,2
144,1,1
145,3,3
146,1,1
147,125,125
148,0.25,0.25
149,0.5,0.5
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,2,2
157,3,3
158,0.25,0.25
159,0.5,0.5
160,1,1
161,2,2
162,1,1
163,2,2
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,2,2
170,0.5,0.5
171,1,1
172,1,1
173,0.25,0.25
174,0.5,0.5
175,1,1
176,2,2
177,1,1
178,1,1
179,1,1
180,0.5,0.5
181,1,1
182,3,3
183,1,1
184,2,2
185,3,3
186,2,2
187,1,1
188,3,3
189,2,2
190,3,3
191,4,4
192,3,3
193,1,1
194,2,2
195,4,4
196,125,125
197,0.25,0.25
198,0.5,0.5
199,1,1
200,1,1
201,2,2
202,2,2
203,2,2
204,3,3
205,3,3
206,2,2
207,3,3
208,1,1
209,2,2
210,1,1
211,2,2
212,4,4
213,2,2
214,2,2
215,3,3
216,1,1
217,4,4
218,2,2
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,3,3
225,1,1
226,1,1
227,6,6
228,1,1
229,1,1
230,3,3
231,2,2
232,2,2
233,2,2
234,2,2
235,2,2
236,2,2
237,3,3
238,3,3
239,5,5
240,1,1
241,2,2
242,2,2
243,4,4
244,8,8
245,1.5,1.5
246,3,3
247,2,2
248,2,2
249,2,2
250,2,2
251,3,3
252,1,1
253,2,2
254,3,3
255,2,2
256,3,3
257,3,3
258,3,3
259,3,3
260,5,5
261,3,3
262,0.5,0.5
263,1,1
264,2,2
265,2,2
266,2,2
267,4,4
268,1,1
269,2,2
270,4,4
271,3,3
272,1,1
273,2,2
274,1,1
275,6,6
276,3,3
277,6,6
278,4,4
279,2,2
280,3,3
281,5,5
282,2,2
283,3,3
284,0.75,0.75
285,1.5,1.5
286,3,3
287,3,3
288,3,3
289,3,3
290,5,5
291,4,4
292,3,3
293,1,1
294,2,2
295,4,4
296,4,4
297,5,5
298,5,5
299,5,5
300,4,4
301,5,5
302,4,4
303,3,3
304,1.5,1.5
305,3,3
306,4,4
307,4,4
308,6,6
309,4,4
310,5,5
311,5,5
312,4,4
313,5,5
314,2,2
315,2,2
316,1,1
317,2,2
318,6,6
319,4,4
320,6,6
321,6,6
322,5,5
323,5,5
324,4,4
325,1.5,1.5
326,3,3
327,5,5
328,5,5
329,6,6
330,5,5
331,6,6
332,4,4
333,6,6
334,6,6
335,2,2
336,3,3
337,4,4
338,4,4
339,5,5
340,6,6
341,6,6
342,6,6
343,6,6
344,2,2
345,3,3
346,4,4
347,6,6
348,4,4
349,5,5
350,6,6
351,5,5
352,4,4
353,3,3
354,7,7
355,5,5
356,3,3
357,5,5
358,6,6
359,3,3
360,5,5
361,2,2
362,4,4
363,7,7
364,6,6
365,6,6
