Días,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
E,7.7,5.53,4.27,3.92,7.77,4.62000000000002,2.93999999999999,5.46,3.57,9.24,4.06,6.65,7.42000000000001,7.07,6.72,6.16000000000001,8.95999999999999,8.89000000000001,5.6,5.67,9.93999999999999,3.92000000000001,10.01,4.68999999999999,10.64,9.66000000000001,6.3,6.02,5.95,5.18,7.21000000000001
F,6.72,6.65,6.92999999999999,2.73,3.92,5.74,5.74,6.3,5.6,7,0,6.23,1.95999999999999,5.81000000000001,7.13999999999999,6.51000000000001,6.79,6.16,9.87,6.72,3.85,3.5,5.95,7,0,4.9,2.8,5.32,6.37,5.11000000000001,,,
M,3.85,6.23,4.97,5.53,5.03999999999999,0.490000000000012,9.8,3.99000000000001,2.93999999999999,5.95,0.140000000000012,6.02,3.5,3.85,2.45,4.55,5.25,3.71000000000001,2.8,4.2,4.9,2.8,0,0,5.6,2.17,2.31000000000001,3.15,4.62,0,0,0,0,3.5
A,4.2,4.83,,2.03,2.45,3.08,,4.12999999999998,3.08,,,3.15,5.53,4.06000000000001,2.52,3.15,1.88999999999999,1.4,4.76000000000001,2.66000000000001,0.630000000000004,0.630000000000004,2.38,2.52,4.06000000000001,3.84999999999999,3.71,1.68,3.5,0.35,
M,1.05,0.0700000000000159,,2.52000000000002,1.47,1.95999999999999,1.75,2.8,2.17000000000002,1.4,1.68,1.60999999999999,1.96000000000001,0.560000000000008,0.839999999999992,1.75,3.77999999999998,0.420000000000016,1.53999999999999,1.05,2.17,1.47,1.96000000000001,1.75,3.15,,,,,1.61000000000001,1.05
J,1.05,1.53999999999999,1.26000000000001,0.7,,3.63999999999999,0.909999999999988,0.210000000000008,0.35,1.96000000000001,1.53999999999999,2.1,1.26000000000001,1.88999999999999,1.88999999999999,,0.769999999999996,2.73,0.7,1.61000000000001,1.82,0.7,0.069999999999996,1.05000000000002,2.1,1.12,1.33,1.25999999999999,0.910000000000008,1.47,
J,3.22,1.61000000000001,2.1,3.15,2.17,1.12,3.71000000000001,2.1,3.85,4.55,3.01000000000001,1.18999999999999,1.96000000000001,3.98999999999999,0.7,0.35,0.630000000000004,1.88999999999999,1.4,2.1,2.45,2.1,3.15,3.01000000000001,2.30999999999999,3.08,1.75,2.31000000000001,1.4,0.910000000000008,3.98999999999999
A,2.1,2.23999999999999,3.01000000000001,1.05,4.27,,1.18999999999999,1.4,1.32999999999998,1.26000000000001,1.53999999999999,3.57000000000002,1.18999999999999,1.67999999999998,6.51000000000001,1.75,1.75,3.15,2.45,2.45,2.45,2.52,2.24000000000001,2.58999999999999,3.5,3.15,5.38999999999999,1.4,2.45,2.52,0.630000000000004
S,8.67999999999998,0.210000000000008,3.85,2.66000000000001,2.58999999999999,2.66000000000001,2.93999999999999,3.85,1.75,2.58999999999999,3.29000000000001,2.8,3.22,3.28999999999999,3.36000000000001,3.5,5.39,3.01000000000001,0.7,1.4,2.31000000000001,2.94,2.24,4.41,1.54,2.72999999999999,4.2,3.15,0.210000000000008,2.31,
O,1.61,6.3,3.85,6.3,,2.45,3.5,5.6,2.1,0.139999999999992,0.769999999999996,0.910000000000008,3.57,3.85,3.15,3.5,5.11000000000001,3.98999999999999,3.85,0.280000000000004,0.139999999999992,4.41000000000001,4.55,5.32,5.32,5.18,4.69000000000001,5.17999999999998,3.98999999999999,3.57,0.140000000000012
N,3.57,4.55,4.13,6.3,4.9,5.04,5.81,4.34,5.6,2.23999999999999,2.94,1.4,2.52,6.02,4.2,6.3,6.3,5.6,5.6,4.48,0.910000000000008,3.5,5.6,5.6,6.65,5.53,6.43999999999999,4.9,6.93,6.3,
D,2.8,3.85,4.9,4.2,5.73999999999999,6.16000000000001,6.23,6.02,6.65,2.8,3.01,4.62,6.15999999999999,4.90000000000001,5.88,6.58,5.73999999999999,4.62,3.78,7,0,5.67,3.92000000000001,5.81,5.95,3.5,5.6,2.45,4.2,7,0,6.3,6.86000000000001
