Días,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
E,60,88,95,92,92,90,82,88,87,67,64,49,68,100,100,91,72,73,67,92,78,67,66,82,96,98,97,90,93,97,73
F,53,53,96,97,94,71,65,68,72,75,62,85,95,58,50,59,66,70,64,100,100,100,94,67,100,100,77,100,,,
M,100,100,100,95,88,95,99,100,99,100,100,100,100,100,100,100,100,100,100,100,98,87,100,100,100,100,100,97,97,100,82
A,94,100,100,100,100,100,100,100,100,100,100,100,99,90,87,96,100,97,90,84,100,100,98,92,84,100,75,100,100,100,
M,100,100,100,100,100,98,97,98,96,100,100,100,100,100,100,92,99,98,100,100,100,98,100,84,100,100,100,100,100,100,100
J,100,100,100,100,100,100,100,100,100,100,100,100,93,94,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
J,97,92,100,94,72,68,87,92,55,57,100,95,99,97,88,100,95,100,93,96,90,84,97,62,66,71,87,100,100,100,100
A,96,91,69,100,98,100,100,100,100,100,97,98,88,95,100,100,100,100,90,85,80,100,100,82,75,84,74,100,98,92,94
S,100,100,98,85,100,100,100,96,100,84,83,96,100,100,100,100,82,89,100,100,100,100,100,80,97,100,100,69,100,100,
O,100,100,100,96,100,100,100,100,82,100,100,100,100,94,100,100,87,97,100,100,100,100,95,78,90,100,100,72,100,100,100
N,100,94,70,65,88,95,85,100,88,100,100,100,100,100,100,73,58,67,62,58,100,100,100,87,88,81,87,100,83,85,
D,100,92,100,100,100,97,91,91,89,97,100,100,97,69,77,73,79,90,100,100,91,83,82,79,99,100,100,100,100,53,57
