Días,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
E,0,6.5,14.5,19,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,1.5,23.7,34.3,0,0,0,0,0
F,0,0,2.3,2.4,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,16.5,0,0,10.5,16,0,15,0,0,0
M,35, ,0,0,0,4.3,12,0,0.4,25.5,24.5,0.3,0,0,0,0,0,0,9.8,0,0,21.5,90,51.9,0,0,0,0,0,75,9.5
A,0,0,55.3,26.3,0,1.8,33.7,0,0,101,66,1,0.3,0,0,0,0,0,0,0,2,4.8,0.3,12.8,0.2,0,0,0,0,14.5,0
M,0,6.3,34,19,0.8,0,0,0,0,1.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11.5,33,27.3,32,17.5,0
J,0,0,0,0,0.8,36.7,0.2,0,0.5,0,0,0,0,0,0,20.2,40.8,0,0,0,28.4,2,0.9,0.3,0.5,0,0,0.5,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,14,0,3.3,4.7,10,5,0,5.1,0,0,0,0,0,0,0,0,0,1.3,0,0
A,0,0,0,31.5,1.6,21,0.2,0,0,9.2,0,0,0,0.5,1.7,10,0,6,0,0,0,0,0,0,0,0,0,7.7,0,0,0
S,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0.3,0,0,0,0,0,0,3.7,10.5,0
O,0,0,0,0,0,43,3.5,0,0,9.7,0,6.5,0,0,0,10,0,0,21,40.4,0,0,0,0,0,20,0,0,27.5,0,16.5
N,0,0,0,0,0,0,0,0,0,0,0.6,0,71.7,0,0,0,0,0,0,0,16.4,16.3,0,0,0,0,4.6,0,0,0,0
D,0,3.5,0,11,0,0,0,0,0,0,0,18,3.5,0,0,0,0,0,6,0,0,0,0,0,3,0,26.5,0,0,0,0
